epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,1742.21,0.72866,0.38939,1.08546,0.99481,0.95083,0.98092,0.76234,0.61276,0.28719,0.96477,0.000896846,0.000896846,0.000896846
72,1766.18,0.74285,0.38803,1.09654,0.98955,0.95455,0.95669,0.72597,0.54505,0.26674,0.91882,0.000885844,0.000885844,0.000885844
73,1790.76,0.72764,0.38454,1.10011,0.99059,0.95391,0.95379,0.72658,0.6429,0.29877,0.96756,0.000874842,0.000874842,0.000874842
74,1815.94,0.74084,0.39175,1.08987,0.99378,0.95233,0.96093,0.74853,0.53505,0.26881,0.91763,0.000863839,0.000863839,0.000863839
75,1841.78,0.7342,0.40196,1.08156,0.99011,0.95418,0.99123,0.7573,0.5351,0.26366,0.92252,0.000852837,0.000852837,0.000852837
76,1865.95,0.72583,0.39636,1.08228,0.99269,0.95455,0.95295,0.75868,0.42292,0.25311,0.87786,0.000841835,0.000841835,0.000841835
77,1892.35,0.6999,0.37578,1.07635,0.99274,0.95455,0.97912,0.75685,0.53071,0.26283,0.92065,0.000830833,0.000830833,0.000830833
78,1917.73,0.71961,0.38876,1.08258,0.99344,0.95455,0.95434,0.75954,0.46715,0.25754,0.89015,0.000819831,0.000819831,0.000819831
79,1942.93,0.71199,0.37368,1.07933,0.99457,0.95455,0.99121,0.77169,0.46225,0.24389,0.89518,0.000808828,0.000808828,0.000808828
80,1970.53,0.69596,0.37073,1.05792,0.99325,0.95455,0.98536,0.77062,0.48053,0.24835,0.89033,0.000797826,0.000797826,0.000797826
81,1996.24,0.72159,0.39439,1.08258,0.9936,0.9544,0.95495,0.7586,0.48936,0.26812,0.89385,0.000786824,0.000786824,0.000786824
82,2022.5,0.70033,0.3835,1.0583,0.99555,0.95295,0.99125,0.78337,0.51907,0.24843,0.9004,0.000775822,0.000775822,0.000775822
83,2049.89,0.71639,0.37727,1.07139,0.98625,0.99699,0.995,0.78417,0.45002,0.23969,0.88589,0.00076482,0.00076482,0.00076482
84,2076.45,0.71,0.37024,1.06784,0.98903,0.99559,0.995,0.76967,0.4558,0.23776,0.88163,0.000753817,0.000753817,0.000753817
85,2102.31,0.6837,0.36694,1.06463,0.99406,0.95455,0.98536,0.80684,0.40103,0.22254,0.85852,0.000742815,0.000742815,0.000742815
86,2128.08,0.71081,0.37926,1.07129,0.99264,0.95253,0.97357,0.78256,0.43441,0.23528,0.87181,0.000731813,0.000731813,0.000731813
87,2154.19,0.71677,0.37409,1.07697,0.99356,0.95455,0.97475,0.78016,0.44918,0.24073,0.87565,0.000720811,0.000720811,0.000720811
88,2179.2,0.69168,0.36492,1.06518,0.99547,0.95455,0.95669,0.79819,0.4193,0.24602,0.86566,0.000709809,0.000709809,0.000709809
89,2206.47,0.69183,0.37003,1.06092,0.99443,0.95343,0.97475,0.7578,0.46993,0.24308,0.88932,0.000698806,0.000698806,0.000698806
90,2231.93,0.69309,0.36735,1.0614,0.99368,0.95373,0.99121,0.78104,0.48788,0.2446,0.89471,0.000687804,0.000687804,0.000687804
91,2259.86,0.68328,0.36179,1.05545,0.98942,0.95455,0.97148,0.77566,0.4239,0.23145,0.86886,0.000676802,0.000676802,0.000676802
92,2290.52,0.70446,0.3768,1.06577,0.99241,0.95455,0.99118,0.7895,0.47664,0.23856,0.89121,0.0006658,0.0006658,0.0006658
93,2316.53,0.6711,0.35663,1.05065,0.99303,0.95455,0.99125,0.81274,0.44127,0.23174,0.87757,0.000654798,0.000654798,0.000654798
94,2344.29,0.66561,0.36082,1.04881,0.99578,1,0.995,0.82103,0.43297,0.22478,0.8747,0.000643795,0.000643795,0.000643795
95,2373.05,0.67481,0.35594,1.04845,0.99434,0.95455,0.97888,0.77807,0.46173,0.23963,0.88807,0.000632793,0.000632793,0.000632793
96,2398.25,0.66677,0.35518,1.04955,0.99588,0.95357,0.9775,0.77346,0.39439,0.21956,0.86623,0.000621791,0.000621791,0.000621791
97,2429.39,0.66052,0.35913,1.046,0.99698,0.95262,0.9698,0.77233,0.43598,0.2385,0.87464,0.000610789,0.000610789,0.000610789
98,2455.8,0.66574,0.36253,1.05375,0.99111,0.95455,0.97605,0.79814,0.45085,0.23145,0.88041,0.000599787,0.000599787,0.000599787
99,2484.02,0.65213,0.34843,1.04117,0.9935,0.9534,0.95952,0.78692,0.39125,0.21715,0.86192,0.000588784,0.000588784,0.000588784
100,2510.07,0.65555,0.34612,1.04241,0.98489,0.95455,0.95914,0.7956,0.39662,0.23564,0.85926,0.000577782,0.000577782,0.000577782
101,2538,0.6409,0.33992,1.04182,0.98285,0.95455,0.98536,0.79951,0.35154,0.21978,0.84905,0.00056678,0.00056678,0.00056678
102,2564.88,0.6602,0.35219,1.05097,0.99678,0.99665,0.995,0.82316,0.39062,0.21215,0.86357,0.000555778,0.000555778,0.000555778
103,2591.24,0.65038,0.34973,1.03885,0.98603,0.95455,0.98808,0.80117,0.40653,0.21886,0.86449,0.000544776,0.000544776,0.000544776
104,2619.01,0.65625,0.34915,1.04108,0.99012,0.95455,0.96904,0.81089,0.32286,0.20884,0.83686,0.000533773,0.000533773,0.000533773
105,2644.73,0.6665,0.36006,1.04511,0.99331,0.95455,0.96412,0.81502,0.4215,0.218,0.86141,0.000522771,0.000522771,0.000522771
106,2675.05,0.63496,0.34044,1.02952,0.9925,0.95455,0.98805,0.80268,0.35742,0.20232,0.84645,0.000511769,0.000511769,0.000511769
107,2701.57,0.64381,0.33811,1.0289,0.99532,0.99724,0.99498,0.83361,0.37947,0.20319,0.85549,0.000500767,0.000500767,0.000500767
108,2729.76,0.63791,0.34302,1.03369,0.99356,0.95455,0.965,0.81831,0.34436,0.20311,0.83876,0.000489765,0.000489765,0.000489765
109,2759.16,0.63495,0.33901,1.03105,0.99166,0.95455,0.96902,0.82447,0.37061,0.20961,0.8443,0.000478762,0.000478762,0.000478762
110,2786.24,0.64001,0.34559,1.03064,0.99534,0.95455,0.98094,0.81167,0.36553,0.21691,0.85017,0.00046776,0.00046776,0.00046776
111,2814.13,0.64163,0.33681,1.04003,0.99198,0.95455,0.99118,0.81672,0.34864,0.20883,0.84356,0.000456758,0.000456758,0.000456758
112,2843.74,0.63744,0.34678,1.02826,0.95175,1,0.99123,0.83426,0.34197,0.20185,0.83387,0.000445756,0.000445756,0.000445756
113,2869.71,0.63905,0.34078,1.02631,0.9909,0.95455,0.98531,0.84031,0.28892,0.19225,0.8194,0.000434754,0.000434754,0.000434754
114,2898.05,0.62465,0.33017,1.02332,0.99467,0.95455,0.9775,0.83457,0.33844,0.20108,0.83269,0.000423751,0.000423751,0.000423751
115,2924.83,0.62254,0.32888,1.02648,0.95227,0.99576,0.99125,0.84134,0.32013,0.19871,0.83536,0.000412749,0.000412749,0.000412749
116,2952.82,0.62152,0.33606,1.02742,0.95035,0.99701,0.99125,0.854,0.32354,0.19222,0.82779,0.000401747,0.000401747,0.000401747
117,2980.4,0.6213,0.33701,1.02329,0.99213,0.95455,0.98298,0.83225,0.33413,0.19908,0.82909,0.000390745,0.000390745,0.000390745
118,3007.47,0.62116,0.33656,1.02533,0.9931,0.95455,0.9791,0.83952,0.31946,0.19521,0.82212,0.000379743,0.000379743,0.000379743
119,3035.19,0.62205,0.32894,1.03009,0.9917,0.95455,0.99121,0.84649,0.28846,0.18501,0.81999,0.00036874,0.00036874,0.00036874
120,3061.93,0.62248,0.32687,1.02546,0.99617,0.99711,0.995,0.8625,0.27811,0.18219,0.81528,0.000357738,0.000357738,0.000357738
121,3090.52,0.6039,0.32129,1.01836,0.99646,0.95455,0.96904,0.83734,0.30204,0.19298,0.82114,0.000346736,0.000346736,0.000346736
122,3121.83,0.60722,0.32506,1.02204,0.99717,0.9939,0.99498,0.84975,0.30229,0.19219,0.82554,0.000335734,0.000335734,0.000335734
123,3156.11,0.61076,0.32553,1.01882,0.9504,1,0.99123,0.84343,0.3005,0.18406,0.82229,0.000324732,0.000324732,0.000324732
124,3184.84,0.60146,0.31563,1.01082,0.99656,1,0.995,0.84002,0.30179,0.18497,0.82476,0.000313729,0.000313729,0.000313729
125,3210.69,0.59059,0.32161,1.00828,0.99453,0.95455,0.99125,0.83664,0.28959,0.19023,0.82157,0.000302727,0.000302727,0.000302727
126,3239.22,0.6076,0.3214,1.01551,0.99437,0.95455,0.97912,0.83825,0.30706,0.18907,0.82367,0.000291725,0.000291725,0.000291725
127,3269.69,0.58327,0.31584,1.01189,0.99406,0.95392,0.98531,0.83791,0.27848,0.19058,0.8145,0.000280723,0.000280723,0.000280723
128,3294.5,0.59816,0.32347,1.01354,0.99611,0.95455,0.98094,0.8371,0.27994,0.17816,0.8172,0.000269721,0.000269721,0.000269721
129,3316.7,0.60385,0.3191,1.0197,0.99614,0.95455,0.98536,0.82429,0.31363,0.18193,0.82472,0.000258718,0.000258718,0.000258718
130,3338.79,0.59486,0.31831,1.00771,0.9968,0.95455,0.98808,0.83608,0.29853,0.18075,0.82147,0.000247716,0.000247716,0.000247716
131,3360.81,0.5961,0.32102,1.01396,0.99498,0.95455,0.9775,0.83804,0.29918,0.18441,0.81898,0.000236714,0.000236714,0.000236714
132,3382.76,0.583,0.31212,1.00735,0.99484,0.95455,0.9775,0.83454,0.28166,0.17944,0.81642,0.000225712,0.000225712,0.000225712
133,3404.74,0.57535,0.3091,0.99927,0.99655,0.95455,0.9775,0.83412,0.27748,0.17808,0.81594,0.00021471,0.00021471,0.00021471
134,3426.68,0.57808,0.30551,0.99672,0.9962,0.95455,0.98094,0.85008,0.26658,0.17372,0.81501,0.000203707,0.000203707,0.000203707
135,3448.63,0.57119,0.30535,0.99665,0.99534,0.95455,0.99125,0.82366,0.27254,0.17392,0.81584,0.000192705,0.000192705,0.000192705
136,3470.54,0.57909,0.30755,1.00437,0.99467,0.95455,0.99125,0.82937,0.27295,0.17089,0.81464,0.000181703,0.000181703,0.000181703
137,3492.44,0.56933,0.30199,1.00011,0.99727,0.99496,0.995,0.85331,0.27232,0.17096,0.81267,0.000170701,0.000170701,0.000170701
